b03,b04,b05,KODE_KAB
laki-laki,52.0,SMA dan sederajat,Bantul
laki-laki,46.0,S1 dan sederajat,Kulon Progo
laki-laki,67.0,SD dan sederajat,Gunung Kidul
laki-laki,63.0,S1 dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Gunung Kidul
laki-laki,28.0,SMA dan sederajat,Kulon Progo
laki-laki,52.0,SMP dan sederajat,Gunung Kidul
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,70.0,SMA dan sederajat,Sleman
laki-laki,42.0,SMA dan sederajat,Gunung Kidul
laki-laki,50.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,63.0,S1 dan sederajat,Bantul
laki-laki,50.0,S1 dan sederajat,Bantul
laki-laki,62.0,SD dan sederajat,Sleman
laki-laki,72.0,S2 dan sederajat,Sleman
laki-laki,51.0,SD dan sederajat,Gunung Kidul
laki-laki,29.0,S1 dan sederajat,Gunung Kidul
laki-laki,57.0,SD dan sederajat,Gunung Kidul
laki-laki,30.0,SMA dan sederajat,Gunung Kidul
laki-laki,58.0,SMA dan sederajat,Gunung Kidul
laki-laki,65.0,SMP dan sederajat,Gunung Kidul
laki-laki,50.0,SMA dan sederajat,Gunung Kidul
laki-laki,45.0,SMA dan sederajat,Gunung Kidul
laki-laki,36.0,S1 dan sederajat,Gunung Kidul
laki-laki,65.0,SD dan sederajat,Gunung Kidul
laki-laki,57.0,S1 dan sederajat,Sleman
laki-laki,44.0,S2 dan sederajat,Sleman
laki-laki,60.0,S1 dan sederajat,Gunung Kidul
laki-laki,45.0,S1 dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Bantul
laki-laki,64.0,S1 dan sederajat,Bantul
laki-laki,40.0,Diploma dan sederajat,Sleman
laki-laki,41.0,Diploma dan sederajat,Sleman
laki-laki,64.0,S1 dan sederajat,Bantul
laki-laki,69.0,S1 dan sederajat,Sleman
laki-laki,46.0,SMA dan sederajat,Sleman
laki-laki,61.0,SMA dan sederajat,Sleman
laki-laki,45.0,S1 dan sederajat,Bantul
laki-laki,71.0,SMA dan sederajat,Bantul
laki-laki,41.0,S1 dan sederajat,Bantul
